Win Rate: 0.416197, Win Rate Per Hundred Games: 0.41
Games: 7200, Wins: 2992
Win Rate: 0.415556, Win Rate Per Hundred Games: 0.37
Games: 7300, Wins: 3039
Win Rate: 0.416301, Win Rate Per Hundred Games: 0.47
Games: 7400, Wins: 3091
Win Rate: 0.417703, Win Rate Per Hundred Games: 0.52
Games: 7500, Wins: 3131
Win Rate: 0.417467, Win Rate Per Hundred Games: 0.4
Games: 7600, Wins: 3166
Win Rate: 0.416579, Win Rate Per Hundred Games: 0.35
Games: 7700, Wins: 3200
Win Rate: 0.415584, Win Rate Per Hundred Games: 0.34
Games: 7800, Wins: 3237
Win Rate: 0.415, Win Rate Per Hundred Games: 0.37
Games: 7900, Wins: 3273
Win Rate: 0.414304, Win Rate Per Hundred Games: 0.36
Games: 8000, Wins: 3317
Win Rate: 0.414625, Win Rate Per Hundred Games: 0.44
Games: 8100, Wins: 3358
Win Rate: 0.414568, Win Rate Per Hundred Games: 0.41
Games: 8200, Wins: 3395
Win Rate: 0.414024, Win Rate Per Hundred Games: 0.37
Games: 8300, Wins: 3447
Win Rate: 0.415301, Win Rate Per Hundred Games: 0.52
Games: 8400, Wins: 3490
Win Rate: 0.415476, Win Rate Per Hundred Games: 0.43
Games: 8500, Wins: 3529
Win Rate: 0.415176, Win Rate Per Hundred Games: 0.39
Games: 8600, Wins: 3564
Win Rate: 0.414419, Win Rate Per Hundred Games: 0.35
Games: 8700, Wins: 3595
Win Rate: 0.413218, Win Rate Per Hundred Games: 0.31
Games: 8800, Wins: 3631
Win Rate: 0.412614, Win Rate Per Hundred Games: 0.36
Games: 8900, Wins: 3663
Win Rate: 0.411573, Win Rate Per Hundred Games: 0.32
Games: 9000, Wins: 3708
Win Rate: 0.412, Win Rate Per Hundred Games: 0.45
Games: 9100, Wins: 3750
Win Rate: 0.412088, Win Rate Per Hundred Games: 0.42
Games: 9200, Wins: 3798
Win Rate: 0.412826, Win Rate Per Hundred Games: 0.48
Games: 9300, Wins: 3838
Win Rate: 0.412688, Win Rate Per Hundred Games: 0.4
Games: 9400, Wins: 3884
Win Rate: 0.413191, Win Rate Per Hundred Games: 0.46
Games: 9500, Wins: 3923
Win Rate: 0.412947, Win Rate Per Hundred Games: 0.39
Games: 9600, Wins: 3974
Win Rate: 0.413958, Win Rate Per Hundred Games: 0.51
Games: 9700, Wins: 4014
Win Rate: 0.413814, Win Rate Per Hundred Games: 0.4
Games: 9800, Wins: 4056
Win Rate: 0.413878, Win Rate Per Hundred Games: 0.42
Games: 9900, Wins: 4103
Win Rate: 0.414444, Win Rate Per Hundred Games: 0.47
Games: 10000, Wins: 4149
Win Rate: 0.4149, Win Rate Per Hundred Games: 0.46
Games: 10100, Wins: 4189
Win Rate: 0.414752, Win Rate Per Hundred Games: 0.4
Games: 10200, Wins: 4234
Win Rate: 0.415098, Win Rate Per Hundred Games: 0.45
Games: 10300, Wins: 4278
Win Rate: 0.41534, Win Rate Per Hundred Games: 0.44
Games: 10400, Wins: 4318
Win Rate: 0.415192, Win Rate Per Hundred Games: 0.4
Games: 10500, Wins: 4359
Win Rate: 0.415143, Win Rate Per Hundred Games: 0.41
Games: 10600, Wins: 4402
Win Rate: 0.415283, Win Rate Per Hundred Games: 0.43
Games: 10700, Wins: 4446
Win Rate: 0.415514, Win Rate Per Hundred Games: 0.44
Games: 10800, Wins: 4493
Win Rate: 0.416019, Win Rate Per Hundred Games: 0.47
Games: 10900, Wins: 4541
Win Rate: 0.416606, Win Rate Per Hundred Games: 0.48
Games: 11000, Wins: 4580
Win Rate: 0.416364, Win Rate Per Hundred Games: 0.39
Games: 11100, Wins: 4623
Win Rate: 0.416486, Win Rate Per Hundred Games: 0.43
Games: 11200, Wins: 4667
Win Rate: 0.416696, Win Rate Per Hundred Games: 0.44
Games: 11300, Wins: 4714
Win Rate: 0.417168, Win Rate Per Hundred Games: 0.47
Games: 11400, Wins: 4754
Win Rate: 0.417018, Win Rate Per Hundred Games: 0.4
Games: 11500, Wins: 4800
Win Rate: 0.417391, Win Rate Per Hundred Games: 0.46
Games: 11600, Wins: 4838
Win Rate: 0.417069, Win Rate Per Hundred Games: 0.38
Games: 11700, Wins: 4891
Win Rate: 0.418034, Win Rate Per Hundred Games: 0.53
Games: 11800, Wins: 4930
Win Rate: 0.417797, Win Rate Per Hundred Games: 0.39
Games: 11900, Wins: 4971
Win Rate: 0.417731, Win Rate Per Hundred Games: 0.41
Games: 12000, Wins: 5022
Win Rate: 0.4185, Win Rate Per Hundred Games: 0.51
Games: 12100, Wins: 5065
Win Rate: 0.418595, Win Rate Per Hundred Games: 0.43
Games: 12200, Wins: 5106
Win Rate: 0.418525, Win Rate Per Hundred Games: 0.41
Games: 12300, Wins: 5148
Win Rate: 0.418537, Win Rate Per Hundred Games: 0.42
Games: 12400, Wins: 5190
Win Rate: 0.418548, Win Rate Per Hundred Games: 0.42
Games: 12500, Wins: 5228
Win Rate: 0.41824, Win Rate Per Hundred Games: 0.38
Games: 12600, Wins: 5270
Win Rate: 0.418254, Win Rate Per Hundred Games: 0.42
Games: 12700, Wins: 5315
Win Rate: 0.418504, Win Rate Per Hundred Games: 0.45
Games: 12800, Wins: 5353
Win Rate: 0.418203, Win Rate Per Hundred Games: 0.38
Games: 12900, Wins: 5391
Win Rate: 0.417907, Win Rate Per Hundred Games: 0.38
Games: 13000, Wins: 5432
Win Rate: 0.417846, Win Rate Per Hundred Games: 0.41
Games: 13100, Wins: 5475
Win Rate: 0.417939, Win Rate Per Hundred Games: 0.43
Games: 13200, Wins: 5515
Win Rate: 0.417803, Win Rate Per Hundred Games: 0.4
